title,lprice,mallName,link
삼성 물걸레 로봇청소기 비스포크 스팀 올인원 물걸래 자동 AI바닥인식 로봇 청소기9600,1099000,삼성공식파트너 현성전자,https://smartstore.naver.com/main/products/10124079870
로보락 S9 MaxV Ultra 직배수 로봇청소기,1790000,네이버,https://search.shopping.naver.com/catalog/53940822841
"에브리봇 쓰리스핀EVO 물걸레 로봇청소기 TS401W 화이트, 단품",377990,네이버,https://search.shopping.naver.com/catalog/53808719007
틴도우 BR151,144820,네이버,https://search.shopping.naver.com/catalog/54607965569
"삼성전자 비스포크 스팀 VR7MD96516G 새틴 그레이지, 단품",742610,네이버,https://search.shopping.naver.com/catalog/53667528600
